date_key,app_id,channel,last_day_new_user_num,last_day_retention_num,last7_day_new_user_num,last7_day_retention_num
2026-09-02 00:00:00,DX-011,ug-CPS10013,0,0,1,0
2026-09-02 00:00:00,DX-015,ug-chichigua-dingbu,0,0,1,0
2026-09-02 00:00:00,DX-001,ug-haijiao-app-sns,2,0,3,0
2026-09-02 00:00:00,DX-002,ug-haijiao-app-sns,3,0,4,0
2026-09-02 00:00:00,DX-003,ug-haijiao-app-sns,5,0,11,0
2026-09-02 00:00:00,DX-001,ug-hdxy-91baoliao,2,0,3,0
2026-09-02 00:00:00,DX-003,ug-hdxy-91baoliao,1,0,0,0
2026-09-02 00:00:00,DX-004,ug-hdxy-91baoliao,0,0,3,0
2026-09-02 00:00:00,DX-007,ug-hdxy-91baoliao,0,0,1,0
2026-09-02 00:00:00,DX-015,ug-hdxy-91baoliao,19,0,13,0
2026-09-02 00:00:00,DX-033,ug-hdxy-91baoliao,0,0,1,0
2026-09-02 00:00:00,DX-036,ug-hdxy-91baoliao,4,0,6,0
2026-09-02 00:00:00,DX-038,ug-hdxy-91baoliao,2,1,2,0
2026-09-02 00:00:00,DX-092,ug-hdxy-91baoliao,11,0,1,0
2026-09-02 00:00:00,DX-118,ug-hdxy-91baoliao,1,0,3,1
2026-09-02 00:00:00,YC-160,1qs842oyi,0,0,1,0
2026-09-02 00:00:00,JHA-059,JnxcZlOw,1,1,0,0
2026-09-02 00:00:00,DX-043,ug-zhuzhu01,0,0,1,0
2026-09-02 00:00:00,TSYH-001,owbujvvworganiccodeo,0,0,2,1
2026-09-02 00:00:00,DX-043,ug-mdx51tk04,0,0,1,0
2026-09-02 00:00:00,DX-001,ug-chichigua-dban,1,0,0,0
2026-09-02 00:00:00,DX-002,ug-chichigua-dban,14,0,13,0
2026-09-02 00:00:00,DX-015,ug-chichigua-dban,17,0,45,0
2026-09-02 00:00:00,DX-030,ug-chichigua-dban,1,0,4,0
2026-09-02 00:00:00,DX-036,ug-chichigua-dban,0,0,1,0
2026-09-02 00:00:00,DX-052,ug-chichigua-dban,4,0,6,0
2026-09-02 00:00:00,DX-055,ug-chichigua-dban,3,0,1,0
2026-09-02 00:00:00,DX-078,ug-chichigua-dban,0,0,1,0
2026-09-02 00:00:00,JHA-103,organic,0,0,1,0
2026-09-02 00:00:00,TJ-062,organic,5,0,6,0
